year,month,day,jam_observasi,sheet_bulan,ketinggian,arah_deg,kecepatan
2025,1,1,06 UTC,JAN,SURFACE,200.0,4.0
2025,1,1,06 UTC,JAN,1000,305.0,2.0
2025,1,1,06 UTC,JAN,2000,265.0,2.0
2025,1,1,06 UTC,JAN,3000,270.0,3.0
2025,1,1,06 UTC,JAN,4000,280.0,1.0
2025,1,1,06 UTC,JAN,5000,295.0,3.0
2025,1,1,06 UTC,JAN,6000,65.0,6.0
2025,1,1,06 UTC,JAN,7000,235.0,2.0
2025,1,1,06 UTC,JAN,8000,240.0,4.0
2025,1,2,06 UTC,JAN,SURFACE,0.0,0.0
2025,1,2,06 UTC,JAN,1000,45.0,4.0
2025,1,2,06 UTC,JAN,2000,320.0,1.0
2025,1,2,06 UTC,JAN,3000,275.0,2.0
2025,1,2,06 UTC,JAN,4000,300.0,3.0
2025,1,2,06 UTC,JAN,5000,295.0,4.0
2025,1,3,06 UTC,JAN,SURFACE,250.0,3.0
2025,1,3,06 UTC,JAN,1000,270.0,7.0
2025,1,3,06 UTC,JAN,2000,260.0,3.0
2025,1,3,06 UTC,JAN,3000,260.0,11.0
2025,1,3,06 UTC,JAN,4000,255.0,10.0
2025,1,3,06 UTC,JAN,5000,245.0,9.0
2025,1,3,06 UTC,JAN,6000,255.0,10.0
2025,1,3,06 UTC,JAN,7000,235.0,8.0
2025,1,3,06 UTC,JAN,8000,245.0,10.0
2025,1,3,06 UTC,JAN,9000,245.0,10.0
2025,1,3,06 UTC,JAN,10000,255.0,9.0
2025,1,4,06 UTC,JAN,SURFACE,250.0,3.0
2025,1,4,06 UTC,JAN,1000,350.0,3.0
2025,1,4,06 UTC,JAN,2000,170.0,1.0
2025,1,4,06 UTC,JAN,3000,270.0,3.0
2025,1,4,06 UTC,JAN,4000,260.0,2.0
2025,1,4,06 UTC,JAN,5000,200.0,2.0
2025,1,4,06 UTC,JAN,6000,190.0,3.0
2025,1,4,06 UTC,JAN,7000,200.0,5.0
2025,1,4,06 UTC,JAN,8000,180.0,5.0
2025,1,5,06 UTC,JAN,SURFACE,120.0,6.0
2025,1,5,06 UTC,JAN,1000,250.0,1.0
2025,1,5,06 UTC,JAN,2000,270.0,2.0
2025,1,5,06 UTC,JAN,3000,255.0,4.0
2025,1,5,06 UTC,JAN,4000,260.0,4.0
2025,1,5,06 UTC,JAN,5000,240.0,3.0
2025,1,5,06 UTC,JAN,6000,195.0,4.0
2025,1,5,06 UTC,JAN,7000,220.0,3.0
2025,1,6,06 UTC,JAN,SURFACE,140.0,4.0
2025,1,6,06 UTC,JAN,1000,100.0,2.0
2025,1,6,06 UTC,JAN,2000,50.0,2.0
2025,1,6,06 UTC,JAN,3000,360.0,1.0
2025,1,6,06 UTC,JAN,4000,30.0,3.0
2025,1,6,06 UTC,JAN,5000,20.0,3.0
2025,1,6,06 UTC,JAN,6000,10.0,1.0
2025,1,7,06 UTC,JAN,SURFACE,60.0,3.0
2025,1,7,06 UTC,JAN,1000,55.0,4.0
2025,1,7,06 UTC,JAN,2000,25.0,6.0
2025,1,7,06 UTC,JAN,3000,350.0,5.0
2025,1,7,06 UTC,JAN,4000,295.0,5.0
2025,1,7,06 UTC,JAN,5000,305.0,4.0
2025,1,7,06 UTC,JAN,6000,285.0,5.0
2025,1,7,06 UTC,JAN,7000,275.0,5.0
2025,1,8,06 UTC,JAN,SURFACE,290.0,5.0
2025,1,9,06 UTC,JAN,SURFACE,270.0,9.0
2025,1,9,06 UTC,JAN,1000,175.0,2.0
2025,1,9,06 UTC,JAN,2000,170.0,3.0
2025,1,9,06 UTC,JAN,3000,270.0,3.0
2025,1,9,06 UTC,JAN,4000,245.0,5.0
2025,1,9,06 UTC,JAN,5000,275.0,4.0
2025,1,9,06 UTC,JAN,6000,275.0,4.0
2025,1,9,06 UTC,JAN,7000,280.0,6.0
2025,1,9,06 UTC,JAN,8000,245.0,6.0
2025,1,10,06 UTC,JAN,SURFACE,60.0,3.0
2025,1,10,06 UTC,JAN,1000,30.0,9.0
2025,1,10,06 UTC,JAN,2000,40.0,9.0
2025,1,10,06 UTC,JAN,3000,40.0,10.0
2025,1,10,06 UTC,JAN,4000,60.0,9.0
2025,1,10,06 UTC,JAN,5000,55.0,7.0
2025,1,10,06 UTC,JAN,6000,55.0,8.0
2025,1,11,06 UTC,JAN,SURFACE,120.0,9.0
2025,1,11,06 UTC,JAN,1000,10.0,2.0
2025,1,11,06 UTC,JAN,2000,340.0,3.0
2025,1,11,06 UTC,JAN,3000,330.0,3.0
2025,1,11,06 UTC,JAN,4000,310.0,3.0
2025,1,11,06 UTC,JAN,5000,305.0,4.0
2025,1,11,06 UTC,JAN,6000,315.0,3.0
2025,1,12,06 UTC,JAN,SURFACE,160.0,6.0
2025,1,12,06 UTC,JAN,1000,250.0,7.0
2025,1,12,06 UTC,JAN,2000,240.0,8.0
2025,1,12,06 UTC,JAN,3000,230.0,9.0
2025,1,12,06 UTC,JAN,4000,220.0,12.0
2025,1,12,06 UTC,JAN,5000,200.0,5.0
2025,1,12,06 UTC,JAN,6000,180.0,6.0
2025,1,12,06 UTC,JAN,7000,160.0,4.0
2025,1,12,06 UTC,JAN,8000,160.0,3.0
2025,1,13,06 UTC,JAN,SURFACE,90.0,7.0
2025,1,13,06 UTC,JAN,1000,135.0,3.0
2025,1,13,06 UTC,JAN,2000,125.0,4.0
2025,1,13,06 UTC,JAN,3000,165.0,7.0
2025,1,13,06 UTC,JAN,4000,180.0,3.0
2025,1,13,06 UTC,JAN,5000,240.0,5.0
2025,1,13,06 UTC,JAN,6000,250.0,6.0
2025,1,13,06 UTC,JAN,7000,255.0,6.0
2025,1,13,06 UTC,JAN,8000,240.0,6.0
2025,1,14,06 UTC,JAN,SURFACE,70.0,5.0
2025,1,14,06 UTC,JAN,1000,45.0,4.0
2025,1,14,06 UTC,JAN,2000,5.0,2.0
2025,1,14,06 UTC,JAN,3000,325.0,5.0
2025,1,14,06 UTC,JAN,4000,290.0,2.0
2025,1,14,06 UTC,JAN,5000,290.0,4.0
2025,1,14,06 UTC,JAN,6000,280.0,3.0
2025,1,15,06 UTC,JAN,SURFACE,100.0,6.0
2025,1,15,06 UTC,JAN,1000,190.0,1.0
2025,1,15,06 UTC,JAN,2000,275.0,4.0
2025,1,15,06 UTC,JAN,3000,340.0,3.0
2025,1,15,06 UTC,JAN,4000,310.0,2.0
2025,1,15,06 UTC,JAN,5000,15.0,3.0
2025,1,15,06 UTC,JAN,6000,65.0,5.0
2025,1,16,06 UTC,JAN,SURFACE,280.0,9.0
2025,1,16,06 UTC,JAN,1000,310.0,16.0
2025,1,16,06 UTC,JAN,2000,310.0,12.0
2025,1,16,06 UTC,JAN,3000,310.0,17.0
2025,1,16,06 UTC,JAN,4000,290.0,14.0
2025,1,16,06 UTC,JAN,5000,350.0,9.0
2025,1,16,06 UTC,JAN,6000,340.0,9.0
2025,1,16,06 UTC,JAN,7000,350.0,9.0
2025,1,16,06 UTC,JAN,8000,50.0,10.0
2025,1,17,06 UTC,JAN,SURFACE,290.0,10.0
2025,1,17,06 UTC,JAN,1000,285.0,10.0
2025,1,17,06 UTC,JAN,2000,270.0,9.0
2025,1,17,06 UTC,JAN,3000,270.0,6.0
2025,1,17,06 UTC,JAN,4000,270.0,7.0
2025,1,17,06 UTC,JAN,5000,280.0,8.0
2025,1,17,06 UTC,JAN,6000,274.0,6.0
2025,1,17,06 UTC,JAN,7000,265.0,8.0
2025,1,17,06 UTC,JAN,8000,255.0,7.0
2025,1,18,06 UTC,JAN,SURFACE,270.0,4.0
2025,1,18,06 UTC,JAN,1000,285.0,11.0
2025,1,18,06 UTC,JAN,2000,240.0,12.0
2025,1,18,06 UTC,JAN,3000,255.0,10.0
2025,1,18,06 UTC,JAN,4000,255.0,12.0
2025,1,18,06 UTC,JAN,5000,255.0,9.0
2025,1,18,06 UTC,JAN,6000,250.0,8.0
2025,1,18,06 UTC,JAN,7000,255.0,7.0
2025,1,18,06 UTC,JAN,8000,245.0,10.0
2025,1,19,06 UTC,JAN,SURFACE,260.0,9.0
2025,1,19,06 UTC,JAN,1000,230.0,4.0
2025,1,19,06 UTC,JAN,2000,260.0,7.0
2025,1,19,06 UTC,JAN,3000,250.0,5.0
2025,1,19,06 UTC,JAN,4000,280.0,7.0
2025,1,19,06 UTC,JAN,5000,330.0,5.0
2025,1,19,06 UTC,JAN,6000,15.0,3.0
2025,1,19,06 UTC,JAN,7000,350.0,3.0
2025,1,19,06 UTC,JAN,8000,350.0,1.0
2025,1,20,06 UTC,JAN,SURFACE,260.0,10.0
2025,1,20,06 UTC,JAN,1000,280.0,4.0
2025,1,20,06 UTC,JAN,2000,270.0,7.0
2025,1,20,06 UTC,JAN,3000,220.0,7.0
2025,1,20,06 UTC,JAN,4000,240.0,7.0
2025,1,20,06 UTC,JAN,5000,210.0,8.0
2025,1,20,06 UTC,JAN,6000,270.0,9.0
2025,1,20,06 UTC,JAN,7000,260.0,10.0
2025,1,21,06 UTC,JAN,SURFACE,270.0,10.0
2025,1,21,06 UTC,JAN,1000,275.0,7.0
2025,1,21,06 UTC,JAN,2000,270.0,7.0
2025,1,21,06 UTC,JAN,3000,240.0,3.0
2025,1,21,06 UTC,JAN,4000,265.0,6.0
2025,1,21,06 UTC,JAN,5000,275.0,8.0
2025,1,21,06 UTC,JAN,6000,250.0,11.0
2025,1,21,06 UTC,JAN,7000,260.0,7.0
2025,1,21,06 UTC,JAN,8000,245.0,9.0
2025,1,22,06 UTC,JAN,SURFACE,300.0,5.0
2025,1,22,06 UTC,JAN,1000,295.0,4.0
2025,1,22,06 UTC,JAN,2000,285.0,5.0
2025,1,22,06 UTC,JAN,3000,295.0,5.0
2025,1,22,06 UTC,JAN,4000,300.0,6.0
2025,1,22,06 UTC,JAN,5000,300.0,6.0
2025,1,22,06 UTC,JAN,6000,295.0,6.0
2025,1,23,06 UTC,JAN,SURFACE,290.0,7.0
2025,1,23,06 UTC,JAN,1000,305.0,10.0
2025,1,23,06 UTC,JAN,2000,305.0,14.0
2025,1,23,06 UTC,JAN,3000,280.0,5.0
2025,1,23,06 UTC,JAN,4000,290.0,6.0
2025,1,23,06 UTC,JAN,5000,355.0,10.0
2025,1,23,06 UTC,JAN,6000,95.0,7.0
2025,1,24,06 UTC,JAN,SURFACE,70.0,2.0
2025,1,24,06 UTC,JAN,1000,30.0,1.0
2025,1,24,06 UTC,JAN,2000,40.0,10.0
2025,1,24,06 UTC,JAN,3000,180.0,6.0
2025,1,24,06 UTC,JAN,4000,180.0,4.0
2025,1,24,06 UTC,JAN,5000,210.0,4.0
2025,1,24,06 UTC,JAN,6000,250.0,3.0
2025,1,24,06 UTC,JAN,7000,230.0,4.0
2025,1,24,06 UTC,JAN,8000,220.0,3.0
2025,1,25,06 UTC,JAN,SURFACE,90.0,5.0
2025,1,25,06 UTC,JAN,1000,110.0,1.0
2025,1,25,06 UTC,JAN,2000,80.0,1.0
2025,1,25,06 UTC,JAN,3000,165.0,2.0
2025,1,25,06 UTC,JAN,4000,235.0,1.0
2025,1,25,06 UTC,JAN,5000,265.0,2.0
2025,1,25,06 UTC,JAN,6000,185.0,1.0
2025,1,25,06 UTC,JAN,7000,120.0,2.0
2025,1,25,06 UTC,JAN,8000,55.0,2.0
2025,1,26,06 UTC,JAN,SURFACE,100.0,2.0
2025,1,26,06 UTC,JAN,1000,0.0,0.0
2025,1,26,06 UTC,JAN,2000,120.0,2.0
2025,1,26,06 UTC,JAN,3000,100.0,2.0
2025,1,26,06 UTC,JAN,4000,85.0,4.0
2025,1,26,06 UTC,JAN,5000,75.0,4.0
